filing_date,form,accession,primary_document,url
2026-06-17,4,0001628280-26-044069,xslF345X06/wk-form4_1781740812.xml,https://www.sec.gov/Archives/edgar/data/1494730/000162828026044069/xslF345X06/wk-form4_1781740812.xml
2026-06-17,4,0001104659-26-075213,xslF345X06/tm2618092-2_4seq1.xml,https://www.sec.gov/Archives/edgar/data/1494730/000110465926075213/xslF345X06/tm2618092-2_4seq1.xml
2026-06-17,SCHEDULE 13G/A,0001104659-26-075203,xslSCHEDULE_13G_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000110465926075203/xslSCHEDULE_13G_X02/primary_doc.xml
2026-06-11,3,0001628280-26-042628,xslF345X06/wk-form3_1781226017.xml,https://www.sec.gov/Archives/edgar/data/1494730/000162828026042628/xslF345X06/wk-form3_1781226017.xml
2026-04-23,SCHEDULE 13G/A,0001104659-26-047683,xslSCHEDULE_13G_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000110465926047683/xslSCHEDULE_13G_X02/primary_doc.xml
2026-04-23,4,0001104659-26-047678,xslF345X06/tm2612285-1_4seq1.xml,https://www.sec.gov/Archives/edgar/data/1494730/000110465926047678/xslF345X06/tm2612285-1_4seq1.xml
2025-12-31,4,0001104659-25-125703,xslF345X05/tm2534544-1_4seq1.xml,https://www.sec.gov/Archives/edgar/data/1494730/000110465925125703/xslF345X05/tm2534544-1_4seq1.xml
2025-11-10,SCHEDULE 13G/A,0001104659-25-109266,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000110465925109266/xslSCHEDULE_13G_X01/primary_doc.xml
2025-11-10,4,0001104659-25-109263,xslF345X05/tm2530487-1_4seq1.xml,https://www.sec.gov/Archives/edgar/data/1494730/000110465925109263/xslF345X05/tm2530487-1_4seq1.xml
2025-09-15,4,0001104659-25-089693,xslF345X05/tm2526050-1_4seq1.xml,https://www.sec.gov/Archives/edgar/data/1494730/000110465925089693/xslF345X05/tm2526050-1_4seq1.xml
2025-08-04,4,0001104659-25-073753,xslF345X05/tm2522507-1_4seq1.xml,https://www.sec.gov/Archives/edgar/data/1494730/000110465925073753/xslF345X05/tm2522507-1_4seq1.xml
2024-12-31,4,0000950170-24-141705,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1494730/000095017024141705/xslF345X05/ownership.xml
2024-02-14,SC 13G/A,0001193125-24-036110,d64998dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312524036110/d64998dsc13ga.htm
2023-03-13,SC 13G/A,0001193125-23-067846,d455542dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312523067846/d455542dsc13ga.htm
2023-03-10,4,0000899243-23-008179,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000089924323008179/xslF345X03/doc4.xml
