date,open,high,low,close,volume
2015-01-02,170.4726,170.8856,168.6553,169.6878,121465900
2015-01-05,168.6471,168.8123,166.3177,166.6233,169632600
2015-01-06,166.9289,167.4493,164.2609,165.0539,209151400
2015-01-07,166.3755,167.4493,165.9294,167.1106,125346700
2015-01-08,168.5149,170.2908,168.4984,170.076,147217800
2015-01-09,170.489,170.5055,168.1018,168.7131,158567300
2015-01-12,168.8453,169.0023,166.7885,167.3915,144396100
2015-01-13,168.6058,169.7291,165.6239,166.9207,214553300
2015-01-14,164.9135,166.1113,164.0214,165.913,192991100
2015-01-15,166.549,166.8629,164.2775,164.3931,176613900
2015-01-16,164.1866,166.7059,164.0049,166.549,211879600
2015-01-20,167.185,167.4494,165.343,166.9042,130991100
2015-01-21,166.4416,168.2258,165.9791,167.7467,122942700
2015-01-22,168.4984,170.3735,167.1272,170.2413,174356000
2015-01-23,169.9852,170.2412,169.1757,169.3078,117516800
2015-01-26,169.0931,169.7952,168.3827,169.7043,92009700
2015-01-27,167.6558,168.6058,166.6399,167.4659,134044600
2015-01-28,168.6471,168.7462,165.1283,165.3183,168514300
2015-01-29,165.5165,167.1024,164.1123,166.8464,173585400
2015-01-30,165.6735,166.9951,164.484,164.7483,197729700
2015-02-02,165.2439,166.8794,163.4349,166.7886,163107000
2015-02-03,167.6807,169.2088,167.309,169.2005,124212900
2015-02-04,168.4406,169.6466,168.1019,168.5562,134306700
2015-02-05,169.217,170.4065,169.1427,170.2578,97953200
2015-02-06,170.6213,171.183,169.2666,169.787,125672000
2015-02-09,169.1427,169.8613,168.6223,169.0271,87219000
2015-02-10,170.0596,171.0838,169.0683,170.8277,96164200
2015-02-11,170.6625,171.3564,170.0183,170.9269,91087800
2015-02-12,171.7198,172.6284,170.9599,172.5706,97545900
2015-02-13,172.6945,173.3305,172.4385,173.281,93670400
2015-02-17,172.9671,173.7271,172.7194,173.5536,76968200
2015-02-18,173.1819,173.6444,172.9175,173.5701,80652900
2015-02-19,172.9754,173.8096,172.8349,173.4462,91462500
2015-02-20,173.0332,174.5613,172.4137,174.487,140896400
2015-02-23,174.2392,174.4622,173.8592,174.4622,74411100
2015-02-24,174.3879,175.1561,174.0905,174.9578,72472300
2015-02-25,174.8339,175.313,174.4704,174.8091,73061700
2015-02-26,174.7182,174.8752,173.9996,174.6026,72697900
2015-02-27,174.5035,174.7678,173.9583,174.0079,108076000
2015-03-02,174.107,175.1643,174.0575,175.1065,87491400
2015-03-03,174.677,175.1561,173.5288,174.3879,110325800
2015-03-04,173.7932,173.8675,172.6863,173.6527,114497200
2015-03-05,173.9749,174.1236,173.3388,173.8427,76873000
2015-03-06,172.9836,173.4131,171.0673,171.3977,188128000
2015-03-09,171.596,172.4633,171.439,172.1081,89818900
2015-03-10,170.7452,170.8278,169.2748,169.3161,157121300
2015-03-11,169.5722,169.7457,168.837,168.9196,110145700
2015-03-12,169.5474,171.1334,169.4979,171.0673,93993500
2015-03-13,170.7947,171.7529,168.9858,170.0183,162410900
2015-03-16,170.7451,172.3806,170.043,172.2898,136099200
2015-03-17,171.5547,172.1576,170.9682,171.7777,94510400
2015-03-18,171.3068,174.5118,170.6708,173.8427,228808500
2015-03-19,173.4297,173.851,172.6615,173.0498,117917300
2015-03-20,173.9964,175.0833,173.8139,174.5772,177715100
2015-03-23,174.5855,175.158,174.237,174.237,71784500
2015-03-24,174.1126,174.5689,173.1916,173.258,77805300
2015-03-25,173.4654,173.6977,170.6776,170.7191,159521700
2015-03-26,170.0554,171.2252,169.3584,170.3126,153067200
2015-03-27,170.1964,170.8768,170.0056,170.7025,118939000
2015-03-30,171.7313,173.0837,171.7147,172.785,96180400
2015-03-31,171.9636,172.6606,171.2169,171.275,126768700
2015-04-01,171.2418,171.2667,169.6819,170.6693,137303600
2015-04-02,170.6029,171.7313,170.4204,171.2833,86900900
2015-04-06,170.3955,172.951,170.2628,172.4366,114368200
2015-04-07,172.4615,173.2082,171.947,171.9802,81236300
2015-04-08,172.2043,173.0008,171.8143,172.561,89351900
2015-04-09,172.3951,173.5567,171.9056,173.3244,85548900
2015-04-10,173.5733,174.3117,173.3742,174.2702,72722900
2015-04-13,174.1291,174.7597,173.4322,173.482,74436600
2015-04-14,173.2829,173.9964,172.6606,173.8139,75099900
2015-04-15,174.2785,175.0999,174.1955,174.5938,99529300
2015-04-16,174.2619,175.0501,174.0628,174.544,68934900
2015-04-17,173.3575,173.5981,171.7562,172.5361,191113200
2015-04-20,173.4571,174.4444,173.3741,174.1125,92189500
2015-04-21,174.793,174.9506,173.6065,173.9052,72559800
2015-04-22,174.2453,174.9423,173.3244,174.7598,78264600
2015-04-23,174.3615,175.8467,174.2453,175.1995,102585900
