filing_date,form,accession,url
2026-07-23,10-Q,0001628280-26-049270,https://www.sec.gov/Archives/edgar/data/1318605/000162828026049270/tsla-20260630.htm
2026-07-22,8-K,0001628280-26-049213,https://www.sec.gov/Archives/edgar/data/1318605/000162828026049213/tsla-20260722.htm
2026-07-02,8-K,0001628280-26-046717,https://www.sec.gov/Archives/edgar/data/1318605/000162828026046717/tsla-20260702.htm
2026-06-17,4,0001104659-26-075213,https://www.sec.gov/Archives/edgar/data/1318605/000110465926075213/xslF345X06/tm2618092-2_4seq1.xml
2026-06-17,SCHEDULE 13G/A,0001104659-26-075203,https://www.sec.gov/Archives/edgar/data/1318605/000110465926075203/xslSCHEDULE_13G_X02/primary_doc.xml
2026-06-09,4,0001104659-26-071970,https://www.sec.gov/Archives/edgar/data/1318605/000110465926071970/xslF345X06/tm2617365-1_4seq1.xml
2026-06-08,144,0001950047-26-005795,https://www.sec.gov/Archives/edgar/data/1318605/000195004726005795/xsl144X01/primary_doc.xml
2026-05-29,SD,0001104659-26-068275,https://www.sec.gov/Archives/edgar/data/1318605/000110465926068275/tm2615395d1_sd.htm
2026-05-15,4,0001104659-26-062860,https://www.sec.gov/Archives/edgar/data/1318605/000110465926062860/xslF345X06/tm2614845-1_4seq1.xml
2026-05-13,144,0001950047-26-004463,https://www.sec.gov/Archives/edgar/data/1318605/000195004726004463/xsl144X01/primary_doc.xml
2026-05-04,4,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/xslF345X06/tm2613330-1_4seq1.xml
2026-04-30,10-K/A,0001104659-26-053166,https://www.sec.gov/Archives/edgar/data/1318605/000110465926053166/tm2611837d1_10ka.htm
2026-04-30,144,0001950047-26-003863,https://www.sec.gov/Archives/edgar/data/1318605/000195004726003863/xsl144X01/primary_doc.xml
2026-04-30,SCHEDULE 13G,0002100119-26-001134,https://www.sec.gov/Archives/edgar/data/1318605/000210011926001134/xslSCHEDULE_13G_X02/primary_doc.xml
2026-04-27,S-8,0001104659-26-048779,https://www.sec.gov/Archives/edgar/data/1318605/000110465926048779/tm2612171d1_s8.htm
2026-04-23,SCHEDULE 13G/A,0001104659-26-047683,https://www.sec.gov/Archives/edgar/data/1318605/000110465926047683/xslSCHEDULE_13G_X02/primary_doc.xml
2026-04-23,4,0001104659-26-047678,https://www.sec.gov/Archives/edgar/data/1318605/000110465926047678/xslF345X06/tm2612285-1_4seq1.xml
2026-04-23,10-Q,0001628280-26-026673,https://www.sec.gov/Archives/edgar/data/1318605/000162828026026673/tsla-20260331.htm
2026-04-22,8-K,0001628280-26-026551,https://www.sec.gov/Archives/edgar/data/1318605/000162828026026551/tsla-20260422.htm
2026-04-02,4,0001972928-26-000002,https://www.sec.gov/Archives/edgar/data/1318605/000197292826000002/xslF345X06/edgardoc.xml
2026-04-02,8-K,0001628280-26-022956,https://www.sec.gov/Archives/edgar/data/1318605/000162828026022956/tsla-20260402.htm
2026-04-01,4,0001104659-26-038682,https://www.sec.gov/Archives/edgar/data/1318605/000110465926038682/xslF345X06/tm2610684-1_4seq1.xml
2026-03-30,144,0001950047-26-003078,https://www.sec.gov/Archives/edgar/data/1318605/000195004726003078/xsl144X01/primary_doc.xml
2026-03-27,SCHEDULE 13G/A,0000102909-26-002479,https://www.sec.gov/Archives/edgar/data/1318605/000010290926002479/xslSCHEDULE_13G_X02/primary_doc.xml
