filing_date,transaction_date,form,issuer,ticker,issuer_cik,table,security,code,code_label,acquired_disposed,shares,price_per_share,value_usd,shares_owned_after,direct_indirect,deriv_exercise_price,deriv_underlying_shares,rule_10b5_1,accession,url
2011-01-25,2009-12-04,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),A,grant/award/acquisition,A,838996,0,0.0,838996,D,6.63,838996,,0001494730-11-000002,https://www.sec.gov/Archives/edgar/data/1494730/000149473011000002/edgardoc.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,C,conversion of derivative,A,20655342,,,23322008,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,C,conversion of derivative,A,3700575,,,27022583,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,X,exercise of in-the-money derivative,A,113908,,,27136491,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,F,shares withheld for tax,D,21728,17.00,369376.0,27114763,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,S,open-market/private sale,D,1415167,17.00,24057839.0,25699596,I,,,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series A Preferred Stock,C,conversion of derivative,D,4880343,,,0,I,,1626781,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series B Preferred Stock,C,conversion of derivative,D,12162167,,,0,I,,4054053,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series C Preferred Stock,C,conversion of derivative,D,10572687,,,0,I,,3700575,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series D Preferred Stock,C,conversion of derivative,D,4097877,,,0,I,,1365959,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series E Preferred Stock,C,conversion of derivative,D,40825647,,,0,I,,13608549,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2010-07-02,2010-07-02,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Series C Warrants (right to buy),X,exercise of in-the-money derivative,D,325441,,,0,I,,113908,,0001181431-10-035864,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/rrd280655.xml
2011-02-23,2011-02-18,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,J,other acquisition/disposition,A,15969,0,0.0,25715565,I,,,,0001494730-11-000004,https://www.sec.gov/Archives/edgar/data/1494730/000149473011000004/edgardoc.xml
2011-06-09,2011-06-08,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,1416000,28.76,40724160.0,27131565,I,,,,0001494730-11-000006,https://www.sec.gov/Archives/edgar/data/1494730/000149473011000006/edgardoc.xml
2012-03-22,2012-03-20,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,J,other acquisition/disposition,A,36274,0,0.0,27167839,I,,,,0001494730-12-000001,https://www.sec.gov/Archives/edgar/data/1494730/000149473012000001/edgardoc.xml
2012-08-15,2012-08-13,4,TESLA MOTORS INC,TSLA,0001318605,deriv,Non-Qualified Stock Option (right to buy),A,grant/award/acquisition,A,5274901,0,0.0,5274901,D,31.17,5274901,,0001494730-12-000003,https://www.sec.gov/Archives/edgar/data/1494730/000149473012000003/edgardoc.xml
2012-10-05,2012-10-03,4,TESLA MOTORS INC,TSLA,0001318605,nonderiv,Common Stock,P,open-market/private purchase,A,35398,28.25,999993.5,27203237,I,,,,0001494730-12-000005,https://www.sec.gov/Archives/edgar/data/1494730/000149473012000005/edgardoc.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,10491720,,,10609976,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,2897342,,,13507318,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,478871,,,13986189,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
2012-12-19,2012-12-18,4,SOLARCITY CORP,SCTY,0001408356,nonderiv,Common Stock,C,conversion of derivative,A,2279826,,,16266015,I,,,,0001181431-12-066021,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/rrd364155.xml
